C0000100,C0000200,birth_year,survey_year,age,n_items_observed,any_qualifying_event,positive_items,item_codes,item_families,in_age_window_15_25,pre_predictor_cutoff
301,3.0,1981.0,1996,15.0,3,0.0,0.0,Y0669000;Y0669600;Y0670200,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
301,3.0,1981.0,1998,17.0,3,1.0,1.0,Y0966400;Y0967000;Y0967600,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
301,3.0,1981.0,2002,21.0,1,0.0,0.0,Y1416800,physical_fight,True,False
301,3.0,1981.0,2008,27.0,1,0.0,0.0,Y2257500,physical_fight,False,False
301,3.0,1981.0,2010,29.0,1,0.0,0.0,Y2609100,physical_fight,False,False
301,3.0,1981.0,2012,31.0,1,0.0,0.0,Y2959200,physical_fight,False,False
302,3.0,1983.0,2000,17.0,1,0.0,0.0,Y1176200,physical_fight,True,False
302,3.0,1983.0,2002,19.0,1,0.0,0.0,Y1416800,physical_fight,True,False
302,3.0,1983.0,2008,25.0,1,0.0,0.0,Y2257500,physical_fight,True,False
302,3.0,1983.0,2010,27.0,1,0.0,0.0,Y2609100,physical_fight,False,False
303,3.0,1986.0,2002,16.0,1,0.0,0.0,Y1415900,hurt_physically,True,False
303,3.0,1986.0,2008,22.0,1,0.0,0.0,Y2257500,physical_fight,True,False
303,3.0,1986.0,2010,24.0,1,0.0,0.0,Y2609100,physical_fight,True,False
303,3.0,1986.0,2012,26.0,1,0.0,0.0,Y2959200,physical_fight,False,False
401,4.0,1980.0,1990,10.0,1,0.0,0.0,C0942400,hurt_need_doctor,False,True
401,4.0,1980.0,1996,16.0,3,1.0,1.0,Y0669000;Y0669600;Y0670200,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
401,4.0,1980.0,1998,18.0,3,1.0,3.0,Y0966400;Y0967000;Y0967600,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
801,8.0,1976.0,1988,12.0,1,0.0,0.0,C0730700,hurt_need_doctor,False,True
